yourlist:M20191118DA437993067D6F64326E5E763500BDED055040M	isomap:M20191118DA437993067D6F64326E5E763500BDED055040M	Entry	Entry name	Protein names	Gene ontology IDs	Gene ontology (GO)	Gene names
NM_153426	NM_153426 -> Q99697-1	Q99697	PITX2_HUMAN	Pituitary homeobox 2 (ALL1-responsive protein ARP1) (Homeobox protein PITX2) (Paired-like homeodomain transcription factor 2) (RIEG bicoid-related homeobox transcription factor) (Solurshin)	GO:0000122; GO:0000790; GO:0000976; GO:0000978; GO:0000981; GO:0001085; GO:0001102; GO:0001227; GO:0003253; GO:0003700; GO:0005634; GO:0005654; GO:0005667; GO:0006355; GO:0006357; GO:0007368; GO:0008134; GO:0009653; GO:0035315; GO:0035993; GO:0042476; GO:0042802; GO:0042803; GO:0043010; GO:0043021; GO:0043565; GO:0045944; GO:0048536; GO:0051219; GO:0060126; GO:0060127; GO:0061072; GO:0061325; GO:0070986	nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; identical protein binding [GO:0042802]; phosphoprotein binding [GO:0051219]; protein homodimerization activity [GO:0042803]; ribonucleoprotein complex binding [GO:0043021]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription factor binding [GO:0001085]; sequence-specific DNA binding [GO:0043565]; transcription factor binding [GO:0008134]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; anatomical structure morphogenesis [GO:0009653]; camera-type eye development [GO:0043010]; cardiac neural crest cell migration involved in outflow tract morphogenesis [GO:0003253]; cell proliferation involved in outflow tract morphogenesis [GO:0061325]; deltoid tuberosity development [GO:0035993]; determination of left/right symmetry [GO:0007368]; hair cell differentiation [GO:0035315]; iris morphogenesis [GO:0061072]; left/right axis specification [GO:0070986]; negative regulation of transcription by RNA polymerase II [GO:0000122]; odontogenesis [GO:0042476]; positive regulation of transcription by RNA polymerase II [GO:0045944]; prolactin secreting cell differentiation [GO:0060127]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription, DNA-templated [GO:0006355]; somatotropin secreting cell differentiation [GO:0060126]; spleen development [GO:0048536]	PITX2 ARP1 RGS RIEG RIEG1
NM_012264		A0A024R1S0	A0A024R1S0_HUMAN	Chromosome 22 open reading frame 5, isoform CRA_a	GO:0016021	integral component of membrane [GO:0016021]	C22orf5 hCG_41692
NM_012264		Q9Y519	T184B_HUMAN	Transmembrane protein 184B (Putative MAPK-activating protein FM08)	GO:0016021	integral component of membrane [GO:0016021]	TMEM184B C22orf5 PSEC0108
NM_025209	NM_025209 -> Q9H2F5-1	Q9H2F5	EPC1_HUMAN	Enhancer of polycomb homolog 1	GO:0000122; GO:0005634; GO:0005654; GO:0006351; GO:0006357; GO:0016604; GO:0031965; GO:0032777; GO:0035267; GO:0035886; GO:0040008; GO:0043967; GO:0043968; GO:0045814; GO:0045892; GO:0045893; GO:0045944; GO:0070317	NuA4 histone acetyltransferase complex [GO:0035267]; nuclear body [GO:0016604]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Piccolo NuA4 histone acetyltransferase complex [GO:0032777]; histone H2A acetylation [GO:0043968]; histone H4 acetylation [GO:0043967]; negative regulation of G0 to G1 transition [GO:0070317]; negative regulation of gene expression, epigenetic [GO:0045814]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of growth [GO:0040008]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription, DNA-templated [GO:0006351]; vascular smooth muscle cell differentiation [GO:0035886]	EPC1
NM_003901		O95470	SGPL1_HUMAN	Sphingosine-1-phosphate lyase 1 (S1PL) (SP-lyase 1) (SPL 1) (hSPL) (EC 4.1.2.27) (Sphingosine-1-phosphate aldolase)	GO:0001553; GO:0001570; GO:0001667; GO:0001822; GO:0005783; GO:0005789; GO:0006631; GO:0006665; GO:0006672; GO:0007283; GO:0008117; GO:0008209; GO:0008210; GO:0009791; GO:0010761; GO:0016831; GO:0030097; GO:0030148; GO:0030149; GO:0030170; GO:0030176; GO:0033327; GO:0040014; GO:0048008; GO:0048705; GO:0060021; GO:0060325; GO:0097190	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]; carboxy-lyase activity [GO:0016831]; pyridoxal phosphate binding [GO:0030170]; sphinganine-1-phosphate aldolase activity [GO:0008117]; ameboidal-type cell migration [GO:0001667]; androgen metabolic process [GO:0008209]; apoptotic signaling pathway [GO:0097190]; ceramide metabolic process [GO:0006672]; estrogen metabolic process [GO:0008210]; face morphogenesis [GO:0060325]; fatty acid metabolic process [GO:0006631]; fibroblast migration [GO:0010761]; hemopoiesis [GO:0030097]; kidney development [GO:0001822]; Leydig cell differentiation [GO:0033327]; luteinization [GO:0001553]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; post-embryonic development [GO:0009791]; regulation of multicellular organism growth [GO:0040014]; roof of mouth development [GO:0060021]; skeletal system morphogenesis [GO:0048705]; spermatogenesis [GO:0007283]; sphingolipid biosynthetic process [GO:0030148]; sphingolipid catabolic process [GO:0030149]; sphingolipid metabolic process [GO:0006665]; vasculogenesis [GO:0001570]	SGPL1 KIAA1252
NM_020714		Q9ULM2	ZN490_HUMAN	Zinc finger protein 490	GO:0003677; GO:0005634; GO:0006355; GO:0046872	nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; regulation of transcription, DNA-templated [GO:0006355]	ZNF490 KIAA1198
NM_004218	NM_004218 -> Q15907-1	Q15907	RB11B_HUMAN	Ras-related protein Rab-11B (GTP-binding protein YPT3)	GO:0001881; GO:0003924; GO:0005525; GO:0005623; GO:0005768; GO:0005829; GO:0006886; GO:0006887; GO:0008021; GO:0019003; GO:0030054; GO:0030670; GO:0031489; GO:0032402; GO:0032482; GO:0033572; GO:0035773; GO:0043687; GO:0044070; GO:0045054; GO:0045055; GO:0045296; GO:0045335; GO:0055037; GO:0055038; GO:0070062; GO:0071468; GO:0090150; GO:0098993; GO:0150093; GO:1990126; GO:2000008; GO:2001135	anchored component of synaptic vesicle membrane [GO:0098993]; cell [GO:0005623]; cell junction [GO:0030054]; cytosol [GO:0005829]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; phagocytic vesicle [GO:0045335]; phagocytic vesicle membrane [GO:0030670]; recycling endosome [GO:0055037]; recycling endosome membrane [GO:0055038]; synaptic vesicle [GO:0008021]; cadherin binding [GO:0045296]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; myosin V binding [GO:0031489]; amyloid-beta clearance by transcytosis [GO:0150093]; cellular response to acidic pH [GO:0071468]; constitutive secretory pathway [GO:0045054]; establishment of protein localization to membrane [GO:0090150]; exocytosis [GO:0006887]; insulin secretion involved in cellular response to glucose stimulus [GO:0035773]; intracellular protein transport [GO:0006886]; melanosome transport [GO:0032402]; post-translational protein modification [GO:0043687]; Rab protein signal transduction [GO:0032482]; receptor recycling [GO:0001881]; regulated exocytosis [GO:0045055]; regulation of anion transport [GO:0044070]; regulation of endocytic recycling [GO:2001135]; regulation of protein localization to cell surface [GO:2000008]; retrograde transport, endosome to plasma membrane [GO:1990126]; transferrin transport [GO:0033572]	RAB11B YPT3
NM_004987	NM_004987 -> P48059-1	P48059	LIMS1_HUMAN	LIM and senescent cell antigen-like-containing domain protein 1 (Particularly interesting new Cys-His protein 1) (PINCH-1) (Renal carcinoma antigen NY-REN-48)	GO:0005737; GO:0005829; GO:0005886; GO:0005911; GO:0005925; GO:0007569; GO:0008270; GO:0010628; GO:0010811; GO:0019901; GO:0033209; GO:0034329; GO:0043547; GO:0045184; GO:0045216; GO:0045892; GO:0048471; GO:0051894; GO:0071560; GO:0098609; GO:1900026; GO:1901224; GO:2001046	cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein kinase binding [GO:0019901]; zinc ion binding [GO:0008270]; cell aging [GO:0007569]; cell junction assembly [GO:0034329]; cell-cell adhesion [GO:0098609]; cell-cell junction organization [GO:0045216]; cellular response to transforming growth factor beta stimulus [GO:0071560]; establishment of protein localization [GO:0045184]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of gene expression [GO:0010628]; positive regulation of GTPase activity [GO:0043547]; positive regulation of integrin-mediated signaling pathway [GO:2001046]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; tumor necrosis factor-mediated signaling pathway [GO:0033209]	LIMS1 PINCH PINCH1
NM_015009	NM_015009 -> Q9UPQ7-1	Q9UPQ7	PZRN3_HUMAN	E3 ubiquitin-protein ligase PDZRN3 (EC 2.3.2.27) (Ligand of Numb protein X 3) (PDZ domain-containing RING finger protein 3) (RING-type E3 ubiquitin transferase PDZRN3) (Semaphorin cytoplasmic domain-associated protein 3) (Protein SEMACAP3)	GO:0004842; GO:0005737; GO:0007528; GO:0008270; GO:0016567; GO:0030054; GO:0031594; GO:0061630	cell junction [GO:0030054]; cytoplasm [GO:0005737]; neuromuscular junction [GO:0031594]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; neuromuscular junction development [GO:0007528]; protein ubiquitination [GO:0016567]	PDZRN3 KIAA1095 LNX3 SEMCAP3
NM_015358		Q14149	MORC3_HUMAN	MORC family CW-type zinc finger protein 3 (Nuclear matrix protein 2) (Zinc finger CW-type coiled-coil domain protein 3)	GO:0003723; GO:0005654; GO:0006468; GO:0007569; GO:0008270; GO:0009791; GO:0016032; GO:0016363; GO:0016605; GO:0018105; GO:0048147; GO:0050821; GO:0051457	nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; PML body [GO:0016605]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]; cell aging [GO:0007569]; maintenance of protein location in nucleus [GO:0051457]; negative regulation of fibroblast proliferation [GO:0048147]; peptidyl-serine phosphorylation [GO:0018105]; post-embryonic development [GO:0009791]; protein phosphorylation [GO:0006468]; protein stabilization [GO:0050821]; viral process [GO:0016032]	MORC3 KIAA0136 NXP2 ZCWCC3
NM_015358		Q4VBZ9	Q4VBZ9_HUMAN	MORC family CW-type zinc finger 3	GO:0008270	zinc ion binding [GO:0008270]	MORC3
NM_177401		Q504T8	MIDN_HUMAN	Midnolin (Midbrain nucleolar protein)	GO:0005634; GO:0005730; GO:0005737; GO:0005829; GO:0019900; GO:0033132; GO:0046676	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleus [GO:0005634]; kinase binding [GO:0019900]; negative regulation of glucokinase activity [GO:0033132]; negative regulation of insulin secretion [GO:0046676]	MIDN
NM_002254		A2RU78	A2RU78_HUMAN	Kinesin-like protein	GO:0003777; GO:0005524; GO:0005874; GO:0008017; GO:0072384	microtubule [GO:0005874]; ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; organelle transport along microtubule [GO:0072384]	KIF3C hCG_21381
NM_002254		O14782	KIF3C_HUMAN	Kinesin-like protein KIF3C	GO:0003774; GO:0003777; GO:0005524; GO:0005829; GO:0005871; GO:0005874; GO:0005929; GO:0006890; GO:0007018; GO:0008017; GO:0016887; GO:0019886; GO:0035735; GO:0072384; GO:0097542	ciliary tip [GO:0097542]; cilium [GO:0005929]; cytosol [GO:0005829]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; motor activity [GO:0003774]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; intraciliary transport involved in cilium assembly [GO:0035735]; microtubule-based movement [GO:0007018]; organelle transport along microtubule [GO:0072384]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	KIF3C
NM_032504	NM_032504 -> Q8N2C7-1	Q8N2C7	UNC80_HUMAN	Protein unc-80 homolog	GO:0005261; GO:0005886; GO:0030424; GO:0034220; GO:0034703; GO:0055080	axon [GO:0030424]; cation channel complex [GO:0034703]; plasma membrane [GO:0005886]; cation channel activity [GO:0005261]; cation homeostasis [GO:0055080]; ion transmembrane transport [GO:0034220]	UNC80 C2orf21 KIAA1843
NM_015938		Q96D46	NMD3_HUMAN	60S ribosomal export protein NMD3 (hNMD3)	GO:0000055; GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0016020; GO:0030674; GO:0032092; GO:0043023; GO:1902680; GO:1904751	cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein binding, bridging [GO:0030674]; ribosomal large subunit binding [GO:0043023]; RNA binding [GO:0003723]; positive regulation of protein binding [GO:0032092]; positive regulation of protein localization to nucleolus [GO:1904751]; positive regulation of RNA biosynthetic process [GO:1902680]; ribosomal large subunit export from nucleus [GO:0000055]	NMD3 CGI-07
NM_001010895		Q5T890	ER6L2_HUMAN	DNA excision repair protein ERCC-6-like 2 (EC 3.6.4.-) (DNA repair and recombination protein RAD26-like)	GO:0003677; GO:0004386; GO:0005524; GO:0005634; GO:0005737; GO:0005739; GO:0005815; GO:0019901; GO:0032991; GO:0034614; GO:0036297	cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; protein kinase binding [GO:0019901]; cellular response to reactive oxygen species [GO:0034614]; interstrand cross-link repair [GO:0036297]	ERCC6L2 C9orf102 RAD26L
NM_176815		Q86XF0	DYR2_HUMAN	Dihydrofolate reductase 2, mitochondrial (Dihydrofolate reductase, mitochondrial) (EC 1.5.1.3) (Dihydrofolate reductase-like protein 1)	GO:0003729; GO:0004146; GO:0005739; GO:0005743; GO:0005759; GO:0006730; GO:0046105; GO:0046452; GO:0046653; GO:0046654; GO:0046655; GO:0050661	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; dihydrofolate reductase activity [GO:0004146]; mRNA binding [GO:0003729]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]; tetrahydrofolate metabolic process [GO:0046653]; thymidine biosynthetic process [GO:0046105]	DHFR2 DHFRL1 DHFRP4
NM_023072		Q9H7M6	ZSWM4_HUMAN	Zinc finger SWIM domain-containing protein 4	GO:0008270; GO:0031462; GO:1902667	Cul2-RING ubiquitin ligase complex [GO:0031462]; zinc ion binding [GO:0008270]; regulation of axon guidance [GO:1902667]	ZSWIM4
NM_023072		Q9HA55	Q9HA55_HUMAN	cDNA FLJ12221 fis, clone MAMMA1001091			
NM_006262		B3KWQ6	B3KWQ6_HUMAN	cDNA FLJ43599 fis, clone SMINT2017781, highly similar to PERIPHERIN	GO:0005198; GO:0045098; GO:0045104	type III intermediate filament [GO:0045098]; structural molecule activity [GO:0005198]; intermediate filament cytoskeleton organization [GO:0045104]	
NM_006262	NM_006262 -> P41219-1	P41219	PERI_HUMAN	Peripherin (Neurofilament 4)	GO:0005198; GO:0005882; GO:0016020; GO:0045098; GO:0045104; GO:0070062	extracellular exosome [GO:0070062]; intermediate filament [GO:0005882]; membrane [GO:0016020]; type III intermediate filament [GO:0045098]; structural molecule activity [GO:0005198]; intermediate filament cytoskeleton organization [GO:0045104]	PRPH NEF4 PRPH1
NM_032124	NM_032124 -> Q9H0R4-1	Q9H0R4	HDHD2_HUMAN	Haloacid dehalogenase-like hydrolase domain-containing protein 2	GO:0016311; GO:0016791; GO:0019899; GO:0046872; GO:0070062	extracellular exosome [GO:0070062]; enzyme binding [GO:0019899]; metal ion binding [GO:0046872]; phosphatase activity [GO:0016791]; dephosphorylation [GO:0016311]	HDHD2
NM_032124		V9HW73	V9HW73_HUMAN	Epididymis secretory protein Li 301 (Epididymis secretory sperm binding protein)	GO:0016791	phosphatase activity [GO:0016791]	HEL-S-301
NM_152556		Q1RMZ1	SAMTR_HUMAN	S-adenosylmethionine sensor upstream of mTORC1 (Probable methyltransferase BMT2 homolog) (EC 2.1.1.-)	GO:0005730; GO:0016433; GO:0034198; GO:1904047; GO:1904262	nucleolus [GO:0005730]; rRNA (adenine) methyltransferase activity [GO:0016433]; S-adenosyl-L-methionine binding [GO:1904047]; cellular response to amino acid starvation [GO:0034198]; negative regulation of TORC1 signaling [GO:1904262]	BMT2 C7orf60 SAMTOR
